C:\Users\lees_\AppData\Local\Programs\Python\Python310\python.exe C:\Users\lees_\PycharmProjects\KFGNet\results.py
max_iter=39
C:\Users\lees_\PycharmProjects\KFGNet\model.py:343: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ..\torch\csrc\utils\tensor_new.cpp:248.)
  vmotion = torch.tensor(vmotion_list, dtype=torch.float32).to(device)
loss.mean() = 2.142463445663452, y_pred = [0.36040974 0.6395903 ], y_actual = tensor([1., 0.])
loss.mean() = 42.507606506347656, y_pred = [1.0000000e+00 3.4660946e-19], y_actual = tensor([0., 1.])
loss.mean() = 0.4030185341835022, y_pred = [0.66877383 0.33122623], y_actual = tensor([1., 0.])
loss.mean() = 0.0029764771461486816, y_pred = [1.4191597e-08 1.0000000e+00], y_actual = tensor([0., 1.])
loss.mean() = 0.0008165091276168823, y_pred = [7.308725e-19 1.000000e+00], y_actual = tensor([0., 1.])
loss.mean() = 0.0006336122751235962, y_pred = [7.314653e-15 1.000000e+00], y_actual = tensor([0., 1.])
loss.mean() = 0.0016356557607650757, y_pred = [1.8767972e-29 1.0000000e+00], y_actual = tensor([0., 1.])
loss.mean() = 0.0019744038581848145, y_pred = [1.8754927e-31 1.0000000e+00], y_actual = tensor([0., 1.])
loss.mean() = 0.0008314698934555054, y_pred = [1.5661375e-22 1.0000000e+00], y_actual = tensor([0., 1.])
loss.mean() = 0.008627042174339294, y_pred = [0. 1.], y_actual = tensor([0., 1.])
loss.mean() = 0.0003051161766052246, y_pred = [0. 1.], y_actual = tensor([0., 1.])
loss.mean() = 0.000638321042060852, y_pred = [3.3407908e-37 1.0000000e+00], y_actual = tensor([0., 1.])
loss.mean() = 159.47854614257812, y_pred = [0. 1.], y_actual = tensor([1., 0.])
loss.mean() = 108.56661987304688, y_pred = [0. 1.], y_actual = tensor([1., 0.])
loss.mean() = 122.14306640625, y_pred = [0. 1.], y_actual = tensor([1., 0.])
loss.mean() = 112.05086517333984, y_pred = [0. 1.], y_actual = tensor([1., 0.])
loss.mean() = 80.18362426757812, y_pred = [1.5043555e-35 1.0000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 29.85918426513672, y_pred = [1.0784948e-13 1.0000000e+00], y_actual = tensor([1., 0.])
Epoch: 0, Total Loss: 1321.5091552734375, Avg Loss: 33.884849548339844
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch0.pth
max_iter=39
loss.mean() = 39.91331481933594, y_pred = [4.6394236e-18 1.0000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 9.20820140838623, y_pred = [1.0049192e-04 9.9989951e-01], y_actual = tensor([1., 0.])
loss.mean() = 0.0015729963779449463, y_pred = [1.0000000e+00 1.9783156e-14], y_actual = tensor([1., 0.])
loss.mean() = 0.00047510862350463867, y_pred = [1.0000000e+00 4.6273188e-17], y_actual = tensor([1., 0.])
loss.mean() = 0.0005975812673568726, y_pred = [1.e+00 3.e-45], y_actual = tensor([1., 0.])
loss.mean() = 0.0004993975162506104, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.00167044997215271, y_pred = [1.e+00 7.e-45], y_actual = tensor([1., 0.])
loss.mean() = 0.0002549886703491211, y_pred = [1.0000000e+00 3.7823611e-31], y_actual = tensor([1., 0.])
loss.mean() = 0.0011347085237503052, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.0002783834934234619, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.0026625096797943115, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.001627013087272644, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.004010096192359924, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.0020066797733306885, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.0005997717380523682, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.004130437970161438, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.000520557165145874, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.00046643614768981934, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 153.59400939941406, y_pred = [1. 0.], y_actual = tensor([0., 1.])
loss.mean() = 163.44009399414062, y_pred = [1. 0.], y_actual = tensor([0., 1.])
loss.mean() = 176.91351318359375, y_pred = [1. 0.], y_actual = tensor([0., 1.])
loss.mean() = 144.48895263671875, y_pred = [1. 0.], y_actual = tensor([0., 1.])
loss.mean() = 78.2780532836914, y_pred = [1.0000000e+00 1.0241107e-34], y_actual = tensor([0., 1.])
loss.mean() = 0.0025180429220199585, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 136.58949279785156, y_pred = [1. 0.], y_actual = tensor([0., 1.])
loss.mean() = 65.6293716430664, y_pred = [1.0000000e+00 3.1513275e-29], y_actual = tensor([0., 1.])
loss.mean() = 64.64972686767578, y_pred = [1.000000e+00 8.411478e-29], y_actual = tensor([0., 1.])
loss.mean() = 66.41058349609375, y_pred = [1.0000000e+00 1.4452287e-29], y_actual = tensor([0., 1.])
loss.mean() = 24.152511596679688, y_pred = [1.0000000e+00 3.2513665e-11], y_actual = tensor([0., 1.])
loss.mean() = 21.095056533813477, y_pred = [1.000000e+00 6.926317e-10], y_actual = tensor([0., 1.])
loss.mean() = 57.88658905029297, y_pred = [1.0000000e+00 7.3207253e-26], y_actual = tensor([0., 1.])
loss.mean() = 46.96553039550781, y_pred = [1.000000e+00 4.014973e-21], y_actual = tensor([0., 1.])
loss.mean() = 35.57795715332031, y_pred = [1.0000000e+00 3.5383208e-16], y_actual = tensor([0., 1.])
loss.mean() = 0.015980063006281853, y_pred = [0.9975924  0.00240756], y_actual = tensor([1., 0.])
loss.mean() = 38.95497131347656, y_pred = [1.21226735e-17 1.00000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 8.256969451904297, y_pred = [2.5959397e-04 9.9974042e-01], y_actual = tensor([1., 0.])
loss.mean() = 32.62663650512695, y_pred = [6.7857283e-15 1.0000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 16.219894409179688, y_pred = [9.045490e-08 9.999999e-01], y_actual = tensor([1., 0.])
loss.mean() = 2.64536714553833, y_pred = [0.07099406 0.929006  ], y_actual = tensor([1., 0.])
Epoch: 1, Total Loss: 1383.537841796875, Avg Loss: 35.4753303527832
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch1.pth
max_iter=39
loss.mean() = 0.039424262940883636, y_pred = [0.96199685 0.03800315], y_actual = tensor([1., 0.])
loss.mean() = 3.202969551086426, y_pred = [0.04067285 0.95932716], y_actual = tensor([1., 0.])
loss.mean() = 4.3668060302734375, y_pred = [0.01269866 0.98730135], y_actual = tensor([1., 0.])
loss.mean() = 18.73207664489746, y_pred = [7.325468e-09 1.000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 0.03144115209579468, y_pred = [0.9711448  0.02885524], y_actual = tensor([1., 0.])
loss.mean() = 0.0006697028875350952, y_pred = [9.999912e-01 8.778308e-06], y_actual = tensor([1., 0.])
loss.mean() = 6.419902801513672, y_pred = [0.00162974 0.99837023], y_actual = tensor([1., 0.])
loss.mean() = 0.0008101016283035278, y_pred = [1.0000000e+00 3.8516872e-14], y_actual = tensor([1., 0.])
loss.mean() = 0.00059990567388013, y_pred = [9.9998152e-01 1.8531415e-05], y_actual = tensor([1., 0.])
loss.mean() = 0.0054409801959991455, y_pred = [1.0000000e+00 1.1471805e-28], y_actual = tensor([1., 0.])
loss.mean() = 0.004260987043380737, y_pred = [1.000000e+00 9.036504e-35], y_actual = tensor([1., 0.])
loss.mean() = 0.0007087439298629761, y_pred = [1.e+00 1.e-45], y_actual = tensor([1., 0.])
loss.mean() = 0.006070494651794434, y_pred = [1.e+00 9.e-44], y_actual = tensor([1., 0.])
loss.mean() = 0.0003085583448410034, y_pred = [9.999975e-01 2.450233e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.0006380379199981689, y_pred = [9.9999678e-01 3.2471685e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.007421046495437622, y_pred = [9.999933e-01 6.724501e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.003407895565032959, y_pred = [1.0000000e+00 2.6477612e-27], y_actual = tensor([1., 0.])
loss.mean() = 0.0006905943155288696, y_pred = [1.0000000e+00 1.8596523e-27], y_actual = tensor([1., 0.])
loss.mean() = 40.174888610839844, y_pred = [1.0000000e+00 3.5714735e-18], y_actual = tensor([0., 1.])
loss.mean() = 25.107826232910156, y_pred = [1.0000000e+00 1.2470033e-11], y_actual = tensor([0., 1.])
loss.mean() = 30.844751358032227, y_pred = [1.0000000e+00 4.0213333e-14], y_actual = tensor([0., 1.])
loss.mean() = 24.45706558227539, y_pred = [1.000000e+00 2.411459e-11], y_actual = tensor([0., 1.])
loss.mean() = 17.410762786865234, y_pred = [1.000000e+00 2.773481e-08], y_actual = tensor([0., 1.])
loss.mean() = 0.0016433149576187134, y_pred = [1.0000000e+00 2.0826366e-08], y_actual = tensor([1., 0.])
loss.mean() = 4.022873878479004, y_pred = [0.98209053 0.01790942], y_actual = tensor([0., 1.])
loss.mean() = 0.0005069822072982788, y_pred = [2.4835688e-07 9.9999976e-01], y_actual = tensor([0., 1.])
loss.mean() = 14.17927360534668, y_pred = [9.999993e-01 6.952436e-07], y_actual = tensor([0., 1.])
loss.mean() = 0.28904134035110474, y_pred = [0.25050783 0.7494921 ], y_actual = tensor([0., 1.])
loss.mean() = 0.000731393345631659, y_pred = [2.7963248e-05 9.9997199e-01], y_actual = tensor([0., 1.])
loss.mean() = 0.0017262212932109833, y_pred = [0.00139311 0.99860686], y_actual = tensor([0., 1.])
loss.mean() = 7.171448230743408, y_pred = [9.9920648e-01 7.9350336e-04], y_actual = tensor([0., 1.])
loss.mean() = 82.04777526855469, y_pred = [1.000000e+00 2.329608e-36], y_actual = tensor([0., 1.])
loss.mean() = 37.71039962768555, y_pred = [1.0000000e+00 4.1962035e-17], y_actual = tensor([0., 1.])
loss.mean() = 16.849761962890625, y_pred = [4.823958e-08 1.000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 22.932085037231445, y_pred = [1.09948266e-10 1.00000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 0.0007408857345581055, y_pred = [1.0000000e+00 5.4308745e-12], y_actual = tensor([1., 0.])
loss.mean() = 0.004103347659111023, y_pred = [1.0000000e+00 5.1884278e-23], y_actual = tensor([1., 0.])
loss.mean() = 0.0009822249412536621, y_pred = [1.0000000e+00 2.9971081e-09], y_actual = tensor([1., 0.])
loss.mean() = 12.546087265014648, y_pred = [3.5619582e-06 9.9999642e-01], y_actual = tensor([1., 0.])
Epoch: 2, Total Loss: 368.5780944824219, Avg Loss: 9.45072078704834
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch2.pth
max_iter=39
loss.mean() = 0.0932081788778305, y_pred = [0.91191643 0.08808352], y_actual = tensor([1., 0.])
loss.mean() = 0.0011596828699111938, y_pred = [1.0000000e+00 3.5825044e-11], y_actual = tensor([1., 0.])
loss.mean() = 0.0010508894920349121, y_pred = [9.9999821e-01 1.7618111e-06], y_actual = tensor([1., 0.])
loss.mean() = 31.762128829956055, y_pred = [1.6084666e-14 1.0000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 38.10194396972656, y_pred = [2.8371494e-17 1.0000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 4.182222843170166, y_pred = [0.0152762 0.9847238], y_actual = tensor([1., 0.])
loss.mean() = 2.3713440895080566, y_pred = [0.09345806 0.90654194], y_actual = tensor([1., 0.])
loss.mean() = 8.270868301391602, y_pred = [2.5626284e-04 9.9974376e-01], y_actual = tensor([1., 0.])
loss.mean() = 0.0006924718618392944, y_pred = [1.00000e+00 5.26349e-13], y_actual = tensor([1., 0.])
loss.mean() = 0.01980731077492237, y_pred = [0.9831638  0.01683628], y_actual = tensor([1., 0.])
loss.mean() = 0.0024326741695404053, y_pred = [1.000000e+00 6.176303e-09], y_actual = tensor([1., 0.])
loss.mean() = 0.001079261302947998, y_pred = [1.0000000e+00 2.9227917e-17], y_actual = tensor([1., 0.])
loss.mean() = 0.0036619603633880615, y_pred = [1.0000000e+00 9.0570446e-26], y_actual = tensor([1., 0.])
loss.mean() = 0.000295981764793396, y_pred = [9.9999988e-01 1.7541247e-07], y_actual = tensor([1., 0.])
loss.mean() = 0.989202618598938, y_pred = [0.3721841 0.6278159], y_actual = tensor([1., 0.])
loss.mean() = 2.621572494506836, y_pred = [0.07287458 0.92712545], y_actual = tensor([1., 0.])
loss.mean() = 0.0017017573118209839, y_pred = [1.0000000e+00 3.1995042e-12], y_actual = tensor([1., 0.])
loss.mean() = 0.2014610469341278, y_pred = [0.8180363 0.1819637], y_actual = tensor([1., 0.])
loss.mean() = 4.1966047286987305, y_pred = [0.98493946 0.01506061], y_actual = tensor([0., 1.])
loss.mean() = 0.6732432246208191, y_pred = [0.48981768 0.5101823 ], y_actual = tensor([0., 1.])
loss.mean() = 11.176761627197266, y_pred = [9.9998605e-01 1.3997864e-05], y_actual = tensor([0., 1.])
loss.mean() = 0.8088475465774536, y_pred = [0.5529012 0.4470988], y_actual = tensor([0., 1.])
loss.mean() = 0.0050092232413589954, y_pred = [2.2605427e-04 9.9977392e-01], y_actual = tensor([0., 1.])
loss.mean() = 0.0007505118846893311, y_pred = [1.0000000e+00 2.3459886e-15], y_actual = tensor([1., 0.])
loss.mean() = 45.44317626953125, y_pred = [1.0000000e+00 1.8382176e-20], y_actual = tensor([0., 1.])
loss.mean() = 0.0013665417209267616, y_pred = [4.2052288e-04 9.9957949e-01], y_actual = tensor([0., 1.])
loss.mean() = 11.065345764160156, y_pred = [9.9998438e-01 1.5648398e-05], y_actual = tensor([0., 1.])
loss.mean() = 5.206470012664795, y_pred = [0.99451447 0.00548558], y_actual = tensor([0., 1.])
loss.mean() = 0.01138798613101244, y_pred = [0.0106618  0.98933816], y_actual = tensor([0., 1.])
loss.mean() = 5.489312171936035, y_pred = [0.9958682  0.00413182], y_actual = tensor([0., 1.])
loss.mean() = 0.017222357913851738, y_pred = [4.8472226e-05 9.9995148e-01], y_actual = tensor([0., 1.])
loss.mean() = 0.0008113780058920383, y_pred = [2.6429529e-04 9.9973565e-01], y_actual = tensor([0., 1.])
loss.mean() = 0.004859444219619036, y_pred = [0.00429733 0.9957027 ], y_actual = tensor([0., 1.])
loss.mean() = 53.04543685913086, y_pred = [9.2021035e-24 1.0000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 4.907788276672363, y_pred = [0.00740265 0.99259734], y_actual = tensor([1., 0.])
loss.mean() = 0.5294528007507324, y_pred = [0.5894158 0.4105842], y_actual = tensor([1., 0.])
loss.mean() = 0.004370331764221191, y_pred = [1.0000000e+00 1.8585294e-22], y_actual = tensor([1., 0.])
loss.mean() = 0.005704070907086134, y_pred = [0.9953145  0.00468553], y_actual = tensor([1., 0.])
loss.mean() = 9.459460258483887, y_pred = [7.7968667e-05 9.9992204e-01], y_actual = tensor([1., 0.])
Epoch: 3, Total Loss: 240.67921447753906, Avg Loss: 6.171261787414551
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch3.pth
max_iter=39
loss.mean() = 3.95878005027771, y_pred = [0.0190972 0.9809028], y_actual = tensor([1., 0.])
loss.mean() = 0.000621303915977478, y_pred = [1.0000000e+00 2.7128171e-19], y_actual = tensor([1., 0.])
loss.mean() = 0.0013307511107996106, y_pred = [9.99213e-01 7.86999e-04], y_actual = tensor([1., 0.])
loss.mean() = 0.0003002136654686183, y_pred = [9.999902e-01 9.828923e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.001194283366203308, y_pred = [1.000000e+00 8.765875e-18], y_actual = tensor([1., 0.])
loss.mean() = 0.0011158596025779843, y_pred = [9.9965775e-01 3.4228252e-04], y_actual = tensor([1., 0.])
loss.mean() = 15.789371490478516, y_pred = [1.390085e-07 9.999999e-01], y_actual = tensor([1., 0.])
loss.mean() = 4.450212478637695, y_pred = [0.01168501 0.988315  ], y_actual = tensor([1., 0.])
loss.mean() = 0.00044989585876464844, y_pred = [1.000000e+00 1.896321e-22], y_actual = tensor([1., 0.])
loss.mean() = 0.004872575402259827, y_pred = [1.0000000e+00 1.2569024e-09], y_actual = tensor([1., 0.])
loss.mean() = 0.005732864141464233, y_pred = [1.000000e+00 8.890025e-28], y_actual = tensor([1., 0.])
loss.mean() = 0.0009946972131729126, y_pred = [1.000000e+00 6.015061e-21], y_actual = tensor([1., 0.])
loss.mean() = 0.007356405258178711, y_pred = [1.0000000e+00 3.5277034e-22], y_actual = tensor([1., 0.])
loss.mean() = 1.816103458404541, y_pred = [0.16269866 0.8373013 ], y_actual = tensor([1., 0.])
loss.mean() = 0.007084121461957693, y_pred = [0.99331576 0.00668427], y_actual = tensor([1., 0.])
loss.mean() = 0.011491820216178894, y_pred = [1.0000000e+00 3.4784606e-11], y_actual = tensor([1., 0.])
loss.mean() = 0.0017331242561340332, y_pred = [1.0000000e+00 1.6819753e-17], y_actual = tensor([1., 0.])
loss.mean() = 0.00020620226860046387, y_pred = [1.000000e+00 7.355734e-14], y_actual = tensor([1., 0.])
loss.mean() = 0.12627430260181427, y_pred = [0.11765748 0.8823426 ], y_actual = tensor([0., 1.])
loss.mean() = 12.696871757507324, y_pred = [9.9999690e-01 3.0612798e-06], y_actual = tensor([0., 1.])
loss.mean() = 2.377708673477173, y_pred = [0.90716976 0.09283023], y_actual = tensor([0., 1.])
loss.mean() = 2.093654155731201, y_pred = [0.87499607 0.125004  ], y_actual = tensor([0., 1.])
loss.mean() = 2.5374503135681152, y_pred = [0.9198421  0.08015782], y_actual = tensor([0., 1.])
loss.mean() = 0.001515015959739685, y_pred = [1.0000000e+00 4.1370265e-11], y_actual = tensor([1., 0.])
loss.mean() = 1.7309839725494385, y_pred = [0.82279146 0.17720857], y_actual = tensor([0., 1.])
loss.mean() = 0.09099531173706055, y_pred = [0.08672934 0.9132706 ], y_actual = tensor([0., 1.])
loss.mean() = 1.207279920578003, y_pred = [0.70092696 0.29907313], y_actual = tensor([0., 1.])
loss.mean() = 10.77230453491211, y_pred = [9.9997902e-01 2.0977554e-05], y_actual = tensor([0., 1.])
loss.mean() = 6.591756343841553, y_pred = [0.998628 0.001372], y_actual = tensor([0., 1.])
loss.mean() = 0.6566490530967712, y_pred = [0.48117962 0.5188204 ], y_actual = tensor([0., 1.])
loss.mean() = 19.805158615112305, y_pred = [1.0000000e+00 2.5526574e-09], y_actual = tensor([0., 1.])
loss.mean() = 47.90911102294922, y_pred = [1.0000000e+00 1.5609791e-21], y_actual = tensor([0., 1.])
loss.mean() = 15.679906845092773, y_pred = [9.9999988e-01 1.5502995e-07], y_actual = tensor([0., 1.])
loss.mean() = 13.845107078552246, y_pred = [9.7271948e-07 9.9999905e-01], y_actual = tensor([1., 0.])
loss.mean() = 0.003345206379890442, y_pred = [1.0000000e+00 2.7400294e-08], y_actual = tensor([1., 0.])
loss.mean() = 0.0008511245250701904, y_pred = [1.00000e+00 1.70325e-40], y_actual = tensor([1., 0.])
loss.mean() = 0.002656117081642151, y_pred = [1.0000000e+00 1.3518235e-19], y_actual = tensor([1., 0.])
loss.mean() = 9.468321800231934, y_pred = [7.7333636e-05 9.9992263e-01], y_actual = tensor([1., 0.])
loss.mean() = 3.715724468231201, y_pred = [0.02434104 0.9756589 ], y_actual = tensor([1., 0.])
Epoch: 4, Total Loss: 177.37257385253906, Avg Loss: 4.5480146408081055
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch4.pth
max_iter=39
loss.mean() = 0.010429123416543007, y_pred = [0.9901833  0.00981666], y_actual = tensor([1., 0.])
loss.mean() = 13.516407012939453, y_pred = [1.349265e-06 9.999987e-01], y_actual = tensor([1., 0.])
loss.mean() = 0.0004820823669433594, y_pred = [9.9999642e-01 3.5687926e-06], y_actual = tensor([1., 0.])
loss.mean() = 10.86034107208252, y_pred = [1.9208217e-05 9.9998081e-01], y_actual = tensor([1., 0.])
loss.mean() = 0.0018836534582078457, y_pred = [0.9989773  0.00102277], y_actual = tensor([1., 0.])
loss.mean() = 0.0005735307931900024, y_pred = [1.0000000e+00 1.9759797e-08], y_actual = tensor([1., 0.])
loss.mean() = 4.654712677001953, y_pred = [0.00952063 0.9904793 ], y_actual = tensor([1., 0.])
loss.mean() = 0.5840665102005005, y_pred = [0.5578385  0.44216153], y_actual = tensor([1., 0.])
loss.mean() = 0.0004542021779343486, y_pred = [9.9998629e-01 1.3666085e-05], y_actual = tensor([1., 0.])
loss.mean() = 0.016326267272233963, y_pred = [0.9850006  0.01499935], y_actual = tensor([1., 0.])
loss.mean() = 0.001429736614227295, y_pred = [1.000000e+00 6.152723e-37], y_actual = tensor([1., 0.])
loss.mean() = 0.0007969141006469727, y_pred = [1.000000e+00 8.025554e-14], y_actual = tensor([1., 0.])
loss.mean() = 0.0017749518156051636, y_pred = [1.0000000e+00 1.6618079e-26], y_actual = tensor([1., 0.])
loss.mean() = 4.673993110656738, y_pred = [0.0093375 0.9906625], y_actual = tensor([1., 0.])
loss.mean() = 4.173290252685547, y_pred = [0.01540665 0.98459333], y_actual = tensor([1., 0.])
loss.mean() = 0.17829403281211853, y_pred = [0.8380132  0.16198687], y_actual = tensor([1., 0.])
loss.mean() = 0.0009251385927200317, y_pred = [9.9999309e-01 6.9331163e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.00195423630066216, y_pred = [0.99824643 0.00175364], y_actual = tensor([1., 0.])
loss.mean() = 0.4392331838607788, y_pred = [0.3552078 0.6447922], y_actual = tensor([0., 1.])
loss.mean() = 0.09329724311828613, y_pred = [0.08898629 0.9110137 ], y_actual = tensor([0., 1.])
loss.mean() = 0.1721581369638443, y_pred = [0.15786959 0.84213036], y_actual = tensor([0., 1.])
loss.mean() = 0.0019785016775131226, y_pred = [1.8111184e-07 9.9999976e-01], y_actual = tensor([0., 1.])
loss.mean() = 6.786736488342285, y_pred = [0.99886847 0.00113155], y_actual = tensor([0., 1.])
loss.mean() = 0.0009750276803970337, y_pred = [9.999995e-01 4.459063e-07], y_actual = tensor([1., 0.])
loss.mean() = 4.141796588897705, y_pred = [0.9841009  0.01589912], y_actual = tensor([0., 1.])
loss.mean() = 0.02156173624098301, y_pred = [0.0210316 0.9789684], y_actual = tensor([0., 1.])
loss.mean() = 0.0021083534229546785, y_pred = [0.00185537 0.9981446 ], y_actual = tensor([0., 1.])
loss.mean() = 0.950485348701477, y_pred = [0.61333066 0.3866694 ], y_actual = tensor([0., 1.])
loss.mean() = 0.01292023342102766, y_pred = [0.01251199 0.98748803], y_actual = tensor([0., 1.])
loss.mean() = 1.762188196182251, y_pred = [0.8282702  0.17172979], y_actual = tensor([0., 1.])
loss.mean() = 12.334842681884766, y_pred = [9.999956e-01 4.466398e-06], y_actual = tensor([0., 1.])
loss.mean() = 50.654136657714844, y_pred = [1.0000000e+00 1.0034202e-22], y_actual = tensor([0., 1.])
loss.mean() = 16.169418334960938, y_pred = [9.999999e-01 9.503072e-08], y_actual = tensor([0., 1.])
loss.mean() = 0.05110558494925499, y_pred = [0.95204604 0.04795393], y_actual = tensor([1., 0.])
loss.mean() = 0.4335519075393677, y_pred = [0.650033 0.349967], y_actual = tensor([1., 0.])
loss.mean() = 0.00040665268898010254, y_pred = [1.0000000e+00 1.8196705e-23], y_actual = tensor([1., 0.])
loss.mean() = 0.001324579119682312, y_pred = [1.000000e+00 9.581311e-09], y_actual = tensor([1., 0.])
loss.mean() = 10.43829345703125, y_pred = [2.933279e-05 9.999707e-01], y_actual = tensor([1., 0.])
loss.mean() = 7.919482231140137, y_pred = [3.6363996e-04 9.9963629e-01], y_actual = tensor([1., 0.])
Epoch: 5, Total Loss: 151.06614685058594, Avg Loss: 3.873491048812866
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch5.pth
max_iter=39
loss.mean() = 0.026418399065732956, y_pred = [0.9747478  0.02525226], y_actual = tensor([1., 0.])
loss.mean() = 0.15826965868473053, y_pred = [0.8543128  0.14568728], y_actual = tensor([1., 0.])
loss.mean() = 0.35212644934654236, y_pred = [0.7037768  0.29622322], y_actual = tensor([1., 0.])
loss.mean() = 3.2579102516174316, y_pred = [0.03847438 0.9615256 ], y_actual = tensor([1., 0.])
loss.mean() = 19.66512680053711, y_pred = [2.8856295e-09 1.0000000e+00], y_actual = tensor([1., 0.])
loss.mean() = 10.576929092407227, y_pred = [2.5513344e-05 9.9997449e-01], y_actual = tensor([1., 0.])
loss.mean() = 11.388641357421875, y_pred = [1.1328064e-05 9.9998868e-01], y_actual = tensor([1., 0.])
loss.mean() = 0.0017998279072344303, y_pred = [0.9986247  0.00137538], y_actual = tensor([1., 0.])
loss.mean() = 0.0011947723105549812, y_pred = [9.9992466e-01 7.5278418e-05], y_actual = tensor([1., 0.])
loss.mean() = 0.001429274445399642, y_pred = [9.9997818e-01 2.1814725e-05], y_actual = tensor([1., 0.])
